Topic_ID,Keywords
0,"new private, private investment, investment, private, new, phone, point contact, point, contact, email new"
1,"backfill, accounts, data, account, statements, chase, data feed, historical, historical data, feed"
2,"valuation, valuations, valuation update, update, energy, 123125, 2026, q1, manual, navs"
3,"person, update person, person statements, users, person update, person transactions, update, statement person, check, person person"
4,"new account, account, contact, new, carolina, investment account, primary contact, account investment, account provide, email new"
5,"accounts, feeding, wrapper, accounts feeding, online, offline, account, wrapper accounts, gs, create wrapper"
6,"asset, asset class, class, asset classes, classes, client asset, attribute, metals, attributes, unknown"
7,"missing, missing data, data optional, data missing, basis provide, updates, updates missing, details missing, data, missing cost"
8,"client positions, private client, client, master list, client update, update client, client missing, secondaries, client master, missing distribution"
9,"jsde, missing, missing attribute, class, asset, jsde asset, asset class, security, details missing, subasset"
10,"distribution, distribution received, 4618, received, world, liberty, echo realty, distributions, echo, collier"
11,"onboarding, template, confirm, tab, deals, private investments, need, list, investments, folder"
12,"person client, client person, user, client accounts, add, convention, client, create, portfolio, naming convention"
13,"devops, ma, owner, direct owner, level, id entity, entity id, owner id, twr, view"
14,"person llc, series, pkus, preferred, llc, pkus series, labs, labs llc, safe, stock"
15,"client calls, calls, complete, check, check person, marked, complete reach, payment, billing, payroll"
16,"performance, cash, investigate, return, ytd, large, spike, returns, anomaly, performance anomaly"
17,"ownership, 50, ci, ci rollover, rollover client, rollover, adjust ownership, id client, client, merge"
18,"report, pg, geib, page, family assets, reports, person family, family, feedback, avalon"
19,"support, guide, affect, client support, discuss, processes, sync, improve, ensure, changes"
20,"daipe, pe, real estate, estate, real, general updates, dai7525, general, dai, sale"
21,"cost, cost basis, basis, missing cost, update cost, missing, resolve, items, adjusted cost, basis update"
22,"card, cards, pay, credit, cancel, balances, credit card, utility, account balances, auto pay"
23,"jsde, market cap, attribute, market, cap, cost basis, cost, basis, audit jsde, add filter"
24,"benchmark, commentary, performance, v2, page, blended, return, total return, benchmarks, update commentary"
25,"report, client report, report issue, client weekly, audits, weekly, issue, issue research, rerun, fix client"
26,"loan, promissory, promissory note, lender, borrower, note, term, teal, tuna, teal tuna"
27,"cost basis, cost, basis, select, reporting, export, export group, basis data, attribute need, month"
28,"jsde valuation, valuation import, import, valuation, jsde, jett, jett texas, onetime, 2025 statement, tanks"
29,"accounts, account list, connected, list, account, feeding, master account, data feed, feed, master"
30,"email person, email, review, person email, person, reissue, look persons, credentials, persons, person person"
31,"id, id id, private investors, investors, investors llc, client alternative, private, alternative investments, class, equity id"
32,"entity, formation, legal, new legal, legal entity, entity person, new entity, entity entity, state, date formation"
33,"access, user, person access, access client, folder, code, asked, key, households, power"
34,"deposit, dor, dor client, jod, transfer, investment, jad, total, orchard, anc"
35,"expense, vintage fund, fund vi, vintage, vi lp, vi, paid client, unfunded, paid, commitment paid"
36,"registration, mail, address, vehicle, title, form, request, verification, hawaii property, southwest"
37,"users, accounts, person account, profile, accounts profile, account person, inspect, accounts linked, duplicate accounts, accounts accounts"
38,"client private, private client, interests, dai, audit, account offline, assets, feinberg, client analysis, sample"
39,"unfunded, commitment, remaining, end month, unfunded commitment, half, cut, currently showing, vintage, amounts"
40,"invoices, sent email, sent, email client, email email, email, invoice, 1st, send, prior"
41,"column, excel, import, vba, upload, load, import templates, valuations, file, excel file"
42,"updates update, update value, general updates, general, close, email general, value based, updates, value, based"
43,"access person, person access, access, person person, person, sure person, permission, check person, check, make sure"
44,"view, viewset, portal, portal view, client portal, client view, new view, koshy, modification, monk"
45,"cash flows, flows, cash, cash flow, tabs, west, flow, templates, column, template"
46,"delete, remove, transfer, clovis, clovis oncology, oncology, distribution, valuations, 101, b1001"
47,"deals, direct deals, dont, investments, private investments, view, phillip, sarofim, showing, funds"
48,"balance, fbo, 1987, gj, account, account balance, accounts, client household, tab titled, household"
49,"employee employee, send, employee, mail, emails, send email, group emails, group email, email clients, domain"
50,"loans, loan, lender person, client borrower, lender, attributes, spreadsheet, borrower, loans client, payable"
51,"person valuation, valuation update, valuation, person value, client provided, valuation person, person values, values person, values, provided"
52,"general updates, general, updates, email general, updates employee, updates person, uploaded, files, person general, upload"
53,"mortgage, stable, stable road, road, received, 600, 598, transactions captured, verify latest, latest transactions"
54,"adcb, zuger, bank, statements, password, statement, folders, bank statements, save, complete statement"
55,"euros, statement, usd, iii, shown, drgcs, valuation amounts, ii iii, drgc, update valuations"
56,"valuation import, jsde valuation, import, valuation, jsde, data import, ready, meeting, family, data"
57,"ownership change, ownership, change, change person, koshy family, person ownership, koshy, family, upload new, update"
58,"forum, usca, private client, gainloss, estimated, taxes, quarter, prior month, month, pull"
59,"opportunities, security wrapper, lendable opportunities, wrapper, opportunities fund, lendable, atg, fund, create security, security"
60,"update value, value based, updates update, based, value, based accounts, general updates, general, based account, updates"
61,"access, credentials, follow, access account, access email, chief, officer, reissue, granted, feed access"
62,"jsde valuation, valuation import, import, jsde, valuation, import template, template jsde, upload import, valuations import, template"
63,"dashing, investigate, view, total, investigate person, investigate dashing, advent, sort, dashes, september 2025"
64,"empaxis, remove, board, views, audit, inventory, client pending, availability, probably, qc"
65,"meeting, schedule, schedule meeting, thursday, agenda, invite, schedule time, week, meeting person, monday"
66,"convertible, convertible note, note, havocai, funded, hello, yesterday, update, human, update havocai"
67,"cb, tultepec, diegos, diego, cb tultepec, committed client, diegos email, cimbra, committed, drgc"
68,"portal, portal add, views, persons portal, view person, persons, view, client portal, person access, verified"
69,"cash transactions, transactions, follow cash, cash, ensure cash, file, negative, file provided, payment, excel file"
70,"task, reminder, task update, follow person, reminder task, create task, task follow, 630, information, pl"
71,"uvf, uvf client, daily task, task uvf, daily, compile, fix, verified, task, week"
72,"online, hide, offshore, hide online, positions, online positions, id direct, direct id, offline, position"
73,"account connection, connection, updates account, connection issue, stale data, stale, connection stale, details account, connections provide, data connections"
74,"hmi, a2a, merge, hmi merge, open position, q3 2025, import, q3, mariner, 2025 positions"
75,"account, account ending, updates investigate, general updates, ending, general, updates account, value, investigate, att"
76,"commitment, add commitment, pic, leeds, itd, direct id, modify, 18 2026, transaction, commitment amounts"
77,"plan, start, bucket, life, priorities, letter wishes, estate, budget, thinking, wishes"
